Year,GitHub_Systems_Pct,GitHub_Security_Pct,Zenodo_Systems_Pct,Zenodo_Security_Pct
2017,0,66.66666666666666,0,0.0
2018,0,63.63636363636363,0,4.545454545454546
2019,0,73.07692307692307,0,3.8461538461538463
2020,79.16666666666666,68.23529411764706,2.083333333333333,1.1764705882352942
2021,47.4025974025974,62.13592233009708,1.948051948051948,3.8834951456310676
2022,88.23529411764706,69.0677966101695,4.201680672268908,6.779661016949152
2023,67.62589928057554,70.93023255813954,24.46043165467626,8.13953488372093
2024,59.87261146496815,64.9425287356322,22.29299363057325,14.367816091954023
2025,23.762376237623762,17.733990147783253,19.801980198019802,70.44334975369459
2026,0,22.0125786163522,0,70.44025157232704
